year	month	data_source	time_stamp	info
2012	12	https://cds.climate.copernicus.eu/api	2024-10-03T22:28+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2013	01-04	https://cds.climate.copernicus.eu/api	2024-10-03T23:15+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2013	05-08	https://cds.climate.copernicus.eu/api	2024-10-04T00:00+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2013	09-12	https://cds.climate.copernicus.eu/api	2024-10-04T00:40+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2014	01-04	https://cds.climate.copernicus.eu/api	2024-10-04T01:18+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2014	05-08	https://cds.climate.copernicus.eu/api	2024-10-04T01:54+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2014	09-12	https://cds.climate.copernicus.eu/api	2024-10-04T02:33+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2015	01-04	https://cds.climate.copernicus.eu/api	2024-10-04T03:12+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2015	05-08	https://cds.climate.copernicus.eu/api	2024-10-04T03:54+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2015	09-12	https://cds.climate.copernicus.eu/api	2024-10-04T04:36+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2016	01-04	https://cds.climate.copernicus.eu/api	2024-10-04T05:15+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2016	05-08	https://cds.climate.copernicus.eu/api	2024-10-04T06:01+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2016	09-12	https://cds.climate.copernicus.eu/api	2024-10-04T06:46+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2017	01-04	https://cds.climate.copernicus.eu/api	2024-10-04T07:27+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2017	05-08	https://cds.climate.copernicus.eu/api	2024-10-04T08:06+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2017	09-12	https://cds.climate.copernicus.eu/api	2024-10-04T08:46+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
