Date	DayCount	PFT	Fraction	NumberPlants
2013-01-01	1	0	0	0
2013-01-01	1	1	0	0
2013-01-01	1	2	0	0
2013-01-02	2	0	0	0
2013-01-02	2	1	0	0
2013-01-02	2	2	0	0
2013-01-03	3	0	0	0
2013-01-03	3	1	0	0
2013-01-03	3	2	0	0
2013-01-04	4	0	0	0
2013-01-04	4	1	0	0
2013-01-04	4	2	0	0
2013-01-05	5	0	0	0
2013-01-05	5	1	0	0
2013-01-05	5	2	0	0
2013-01-06	6	0	0	0
2013-01-06	6	1	0	0
2013-01-06	6	2	0	0
2013-01-07	7	0	0	0
2013-01-07	7	1	0	0
2013-01-07	7	2	0	0
2013-01-08	8	0	0	0
2013-01-08	8	1	0	0
2013-01-08	8	2	0	0
2013-01-09	9	0	0	0
2013-01-09	9	1	0	0
2013-01-09	9	2	0	0
2013-01-10	10	0	0	0
2013-01-10	10	1	0	0
2013-01-10	10	2	0	0
2013-01-11	11	0	0	0
2013-01-11	11	1	0	0
2013-01-11	11	2	0	0
2013-01-12	12	0	0	0
2013-01-12	12	1	0	0
2013-01-12	12	2	0	0
2013-01-13	13	0	0	0
2013-01-13	13	1	0	0
2013-01-13	13	2	0	0
2013-01-14	14	0	33.3333	1
2013-01-14	14	1	33.3333	1
2013-01-14	14	2	33.3333	1
2013-01-15	15	0	33.3333	1
2013-01-15	15	1	33.3333	1
2013-01-15	15	2	33.3333	1
2013-01-16	16	0	25	1
2013-01-16	16	1	50	2
2013-01-16	16	2	25	1
2013-01-17	17	0	28.5714	2
2013-01-17	17	1	42.8571	3
2013-01-17	17	2	28.5714	2
2013-01-18	18	0	37.5	3
2013-01-18	18	1	37.5	3
2013-01-18	18	2	25	2
2013-01-19	19	0	37.5	3
2013-01-19	19	1	37.5	3
2013-01-19	19	2	25	2
2013-01-20	20	0	44.4444	4
2013-01-20	20	1	33.3333	3
2013-01-20	20	2	22.2222	2
2013-01-21	21	0	40	4
2013-01-21	21	1	40	4
2013-01-21	21	2	20	2
2013-01-22	22	0	38.4615	5
2013-01-22	22	1	38.4615	5
2013-01-22	22	2	23.0769	3
2013-01-23	23	0	33.3333	5
2013-01-23	23	1	40	6
2013-01-23	23	2	26.6667	4
2013-01-24	24	0	33.3333	5
2013-01-24	24	1	40	6
2013-01-24	24	2	26.6667	4
2013-01-25	25	0	37.5	6
2013-01-25	25	1	37.5	6
2013-01-25	25	2	25	4
2013-01-26	26	0	41.1765	7
2013-01-26	26	1	35.2941	6
2013-01-26	26	2	23.5294	4
2013-01-27	27	0	38.8889	7
2013-01-27	27	1	38.8889	7
2013-01-27	27	2	22.2222	4
2013-01-28	28	0	42.1053	8
