Date	DayCount	PFT	Fraction	NumberPlants
2013-01-01	1	0	0	0
2013-01-01	1	1	0	0
2013-01-01	1	2	0	0
2013-01-02	2	0	0	0
2013-01-02	2	1	0	0
2013-01-02	2	2	0	0
2013-01-03	3	0	0	0
2013-01-03	3	1	0	0
2013-01-03	3	2	0	0
2013-01-04	4	0	0	0
2013-01-04	4	1	0	0
2013-01-04	4	2	0	0
2013-01-05	5	0	0	0
2013-01-05	5	1	0	0
2013-01-05	5	2	0	0
2013-01-06	6	0	0	0
2013-01-06	6	1	0	0
2013-01-06	6	2	0	0
2013-01-07	7	0	0	0
2013-01-07	7	1	0	0
2013-01-07	7	2	0	0
2013-01-08	8	0	0	0
2013-01-08	8	1	0	0
2013-01-08	8	2	0	0
2013-01-09	9	0	0	0
2013-01-09	9	1	0	0
2013-01-09	9	2	0	0
2013-01-10	10	0	0	0
2013-01-10	10	1	0	0
2013-01-10	10	2	0	0
2013-01-11	11	0	0	0
2013-01-11	11	1	0	0
2013-01-11	11	2	0	0
2013-01-12	12	0	0	0
2013-01-12	12	1	0	0
2013-01-12	12	2	0	0
2013-01-13	13	0	0	0
2013-01-13	13	1	0	0
2013-01-13	13	2	0	0
2013-01-14	14	0	0	0
2013-01-14	14	1	50	1
2013-01-14	14	2	50	1
2013-01-15	15	0	0	0
2013-01-15	15	1	50	1
2013-01-15	15	2	50	1
2013-01-16	16	0	0	0
2013-01-16	16	1	50	1
2013-01-16	16	2	50	1
2013-01-17	17	0	0	0
2013-01-17	17	1	50	1
2013-01-17	17	2	50	1
2013-01-18	18	0	0	0
2013-01-18	18	1	50	2
2013-01-18	18	2	50	2
2013-01-19	19	0	16.6667	1
2013-01-19	19	1	33.3333	2
2013-01-19	19	2	50	3
2013-01-20	20	0	14.2857	1
2013-01-20	20	1	28.5714	2
2013-01-20	20	2	57.1429	4
2013-01-21	21	0	14.2857	1
2013-01-21	21	1	28.5714	2
2013-01-21	21	2	57.1429	4
2013-01-22	22	0	14.2857	1
2013-01-22	22	1	28.5714	2
2013-01-22	22	2	57.1429	4
2013-01-23	23	0	20	2
2013-01-23	23	1	30	3
2013-01-23	23	2	50	5
2013-01-24	24	0	18.1818	2
2013-01-24	24	1	36.3636	4
2013-01-24	24	2	45.4545	5
2013-01-25	25	0	23.0769	3
2013-01-25	25	1	38.4615	5
2013-01-25	25	2	38.4615	5
2013-01-26	26	0	20	3
2013-01-26	26	1	40	6
2013-01-26	26	2	40	6
2013-01-27	27	0	20	3
2013-01-27	27	1	33.3333	5
2013-01-27	27	2	46.6667	7
2013-01-28	28	0	17.6471	3
2013-01-28	28	1	35.2941	6
