year	month	data_source	time_stamp	info
2012	12	https://cds.climate.copernicus.eu/api	2024-10-04T21:26+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2013	01-04	https://cds.climate.copernicus.eu/api	2024-10-04T21:52+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2013	05-08	https://cds.climate.copernicus.eu/api	2024-10-04T22:27+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2013	09-12	https://cds.climate.copernicus.eu/api	2024-10-04T23:01+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2014	01-04	https://cds.climate.copernicus.eu/api	2024-10-04T23:32+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2014	05-08	https://cds.climate.copernicus.eu/api	2024-10-05T00:00+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2014	09-12	https://cds.climate.copernicus.eu/api	2024-10-05T00:32+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2015	01-04	https://cds.climate.copernicus.eu/api	2024-10-05T01:01+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2015	05-08	https://cds.climate.copernicus.eu/api	2024-10-05T01:34+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2015	09-12	https://cds.climate.copernicus.eu/api	2024-10-05T02:02+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2016	01-04	https://cds.climate.copernicus.eu/api	2024-10-05T02:50+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2016	05-08	https://cds.climate.copernicus.eu/api	2024-10-05T03:32+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2016	09-12	https://cds.climate.copernicus.eu/api	2024-10-05T04:06+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2017	01-04	https://cds.climate.copernicus.eu/api	2024-10-05T04:37+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2017	05-08	https://cds.climate.copernicus.eu/api	2024-10-05T05:06+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2017	09-12	https://cds.climate.copernicus.eu/api	2024-10-05T05:36+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2018	01-04	https://cds.climate.copernicus.eu/api	2024-10-05T06:07+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2018	05-08	https://cds.climate.copernicus.eu/api	2024-10-05T06:35+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2018	09-12	https://cds.climate.copernicus.eu/api	2024-10-05T07:03+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2019	01-04	https://cds.climate.copernicus.eu/api	2024-10-05T07:31+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2019	05-08	https://cds.climate.copernicus.eu/api	2024-10-05T08:01+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2019	09-12	https://cds.climate.copernicus.eu/api	2024-10-05T08:29+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2020	01-04	https://cds.climate.copernicus.eu/api	2024-10-05T08:59+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2020	05-08	https://cds.climate.copernicus.eu/api	2024-10-05T09:30+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2020	09-12	https://cds.climate.copernicus.eu/api	2024-10-05T09:57+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
2021	01-04	https://cds.climate.copernicus.eu/api	2024-10-05T10:23+00:00	"GRIB to CDM+CF via cfgrib-0.9.14.1/ecCodes-2.36.0 with {""source"": ""data.grib"", ""filter_by_keys"": {}, ""encode_cf"": [""parameter"", ""time"", ""geography"", ""vertical""]}"
